GCAM_commodity,GCAM_region_ID,iso,Nfixkg,totval,Nfixkg.yld
Legumes,6,nzl,2049563.0625796902,729902,2.807997597731874
Legumes,7,bra,90858689.91299759,54155385,1.6777406330505746
Legumes,8,can,102716824.93028899,66884300,1.5357389541385496
Legumes,9,bhs,6959.577614616232,2256,3.084919155414996
Legumes,9,blz,149150.45476106586,138956,1.0733646244931192
Legumes,9,brb,40173.30588566489,21402,1.8770818561660074
Legumes,9,cri,531333.6987760523,257144,2.0662885339578305
Legumes,9,cub,3192843.447057211,1601227,1.9939980071889938
Legumes,9,dma,4243.528174874601,1462,2.9025500512138174
Legumes,9,dom,997311.2228609863,921874,1.081830296614273
Legumes,9,glp,3214.7633451851852,1125,2.857567417942387
Legumes,9,grd,25796.912084664385,12110,2.130215696504078
Legumes,9,gtm,3815526.3113257913,2686862,1.4200678379930907
Legumes,9,hnd,2188259.475240049,1277832,1.7124782250249242
Legumes,9,hti,1888057.8987629262,1598823,1.1809048898864516
Legumes,9,jam,70117.6800123203,53489,1.310880368156449
Legumes,9,kna,10562.067894621967,3818,2.766387609906225
Legumes,9,lca,2477.312951680672,952,2.6022194870595294
Legumes,9,mtq,53315.916849560206,16485,3.234207876831071
Legumes,9,nic,5480974.855800986,2929141,1.87118846644835
Legumes,9,pan,135130.41976775965,168683,0.8010909206485517
Legumes,9,slv,2364126.8584730104,1330704,1.776598596286635
Legumes,9,tto,78932.56206023404,40731,1.9378989482270024
Legumes,9,vct,24968.876994518014,9364,2.666475544053611
Legumes,10,arm,127726.68256295267,79941,1.597761881424459
Legumes,10,aze,292902.3999490904,284793,1.0284747165453167
Legumes,10,geo,362373.24894431076,205950,1.7595205095620818
Legumes,10,kaz,2141324.5301391277,799395,2.678681415494377
Legumes,10,kgz,1525375.2048747928,697013,2.188445846597973
Legumes,10,mng,60915.872943086986,23246,2.620488382650219
Legumes,10,tjk,750260.673508961,437096,1.7164665737251337
Legumes,10,tkm,522145.90369178815,184928,2.823509169470216
Legumes,10,uzb,641473.2096382623,185770,3.45305059825732
Legumes,11,chn,47704830.699680515,53780438,0.8870294195015763
Legumes,12,bgr,437486.3336462921,409454,1.068462717780977
Legumes,12,cyp,8390.428337651525,10376,0.8086380433357291
Legumes,12,cze,3860198.731460264,2956824,1.3055219828641353
Legumes,12,est,433015.5022517175,147455,2.936594230454834
Legumes,12,hun,3978635.630600255,1284066,3.0984666135543306
Legumes,12,ltu,1534597.7045042643,1125600,1.363359723262495
Legumes,12,lva,161805.89554432165,85060,1.9022560021669603
Legumes,12,mlt,12205.998149740335,6932,1.7608191214282076
Legumes,12,pol,5679900.716367683,4953401,1.1466668489725915
Legumes,12,rom,1492457.1000721331,1236069,1.2074221585300926
Legumes,12,svk,2414561.6362386113,724522,3.3326270785961105
Legumes,12,svn,179680.23465204352,63689,2.821212998352047
Legumes,13,aut,5277807.243432216,1612103,3.273864786203001
Legumes,13,bel,233631.16847509312,139382,1.6761932564828537
Legumes,13,deu,18469555.647964858,6409431,2.8816217302229883
Legumes,13,dnk,11717068.456696138,2359752,4.965381301380882
Legumes,13,esp,5218514.608388913,4469316,1.1676316036702066
Legumes,13,fin,534098.3856341189,178200,2.9971851045685685
Legumes,13,fra,99874805.55963181,29095101,3.432701799510227
Legumes,13,gbr,18175176.106332332,11115495,1.635120712692717
Legumes,13,grc,504063.87908939616,532643,0.9463446982113651
Legumes,13,irl,409163.3330894468,305714,1.3383859852327562
Legumes,13,ita,886650.4741647588,956020,0.9274392524892354
Legumes,13,lux,57994.46518582513,17528,3.308675558296733
Legumes,13,nld,263788.0352934124,196839,1.3401207854815986
Legumes,13,prt,261713.38985195255,133672,1.9578774152548968
Legumes,13,swe,3255402.4910091483,1161458,2.8028585545143674
Legumes,14,blr,5429031.948855948,4861845,1.1166608455958484
Legumes,14,ukr,32478976.79353123,11955630,2.7166261245564836
Legumes,15,alb,693928.7023237947,425186,1.632059151345046
Legumes,15,bih,303937.16333796387,366335,0.8296700106131378
Legumes,15,hrv,456297.314743529,214032,2.1319116521993395
Legumes,15,mne,52776.30173742594,17218,3.0651818874100325
Legumes,15,scg,1626074.0950621685,1174411,1.3845869078731112
Legumes,15,srb,1111391.4550662877,375698,2.9582043424939384
Legumes,15,tur,29616548.244060606,23448400,1.2630519883685285
Legumes,16,che,730186.6700956334,255420,2.8587685776197373
Legumes,16,nor,271574.03188918,29002,9.363975997833943
Legumes,17,ind,234594432.61485878,257391300,0.9114310880548752
Legumes,18,idn,9607136.28741977,5672952,1.6934986030940804
Legumes,19,jpn,2935840.9158088206,1744051,1.6833457942507533
Legumes,20,mex,31621283.946820963,23590175,1.3404429575796264
Legumes,21,bhr,498.1873825503356,149,3.3435394802035945
Legumes,21,irq,3670614.5798524925,789414,4.649796659107253
Legumes,21,isr,657261.8240703902,227063,2.894623184184082
Legumes,21,jor,147771.07019918275,55496,2.6627337141268335
Legumes,21,lbn,255326.00841479536,198998,1.2830581634729765
Legumes,21,sau,486374.27665819105,174422,2.7884915702043953
Legumes,21,syr,5685504.2378733475,3349462,1.697438047624767
Legumes,21,yem,1933489.1834446234,1232083,1.569284848053762
Legumes,22,pak,29227490.39676517,17152657,1.70396285524541
Legumes,23,rus,58776417.43068758,46496680,1.2640992309706323
Legumes,24,zaf,1716935.6230130212,1520011,1.1295547354677178
Legumes,25,guy,41331.59097110435,15069,2.7428224149647855
Legumes,25,sur,6018.028165448852,1916,3.1409332805056636
Legumes,26,chl,1785945.142754193,1629970,1.0956920328313975
Legumes,26,ecu,707169.204143148,509686,1.38746052303408
Legumes,26,per,1881785.2674626946,2684618,0.7009508494179413
Legumes,26,pry,1621637.3893966526,1027229,1.5786522668233205
Legumes,26,ury,114695.50620734734,107168,1.0702402415585561
Legumes,27,afg,2569773.4081099057,840786,3.0563941456088775
Legumes,27,bgd,5561295.460399899,6182477,0.8995254588735063
Legumes,27,btn,73552.30118213991,67816,1.0845862507688437
Legumes,27,lka,498980.8849780284,419906,1.1883156825051997
Legumes,27,mdv,3435.7008695652175,1173,2.9289862485636977
Legumes,27,npl,5369996.451554622,4181298,1.2842893406675682
Legumes,29,fji,63829.23364817198,11988,5.324427231245577
Legumes,29,khm,1484141.0984822728,678941,2.1859647575890584
Legumes,29,lao,611798.7564352335,307003,1.9928103518051403
Legumes,29,mmr,62681870.60436457,53107390,1.1802852786469937
Legumes,29,ncl,1088.209902234637,358,3.0396924643425614
Legumes,29,phl,1167988.6836737623,1065122,1.0965773720510534
Legumes,29,png,135399.60098893213,47801,2.8325683769990615
Legumes,29,slb,216148.754721334,75682,2.856012720611691
