GCAM_commodity,GCAM_region_ID,contentN,contentP
Corn,1,6.400002479962974e-4,6.400002479962974e-4
Corn,2,0.02264344222270846,0.02264344222270846
Corn,3,0.0014732345097664252,0.0014732345097664254
Corn,4,0.020269600026722553,0.020269600026722553
Corn,5,0.009093154978343896,0.009093154978343896
Corn,6,0.043071284016976005,0.043071284016976005
Corn,7,0.00256,0.00256
Corn,8,0,0
Corn,9,0.007302341370423495,0.007302341370423495
Corn,10,0.002699943730469131,0.002699943730469131
Corn,11,0.0026,0.0026
Corn,12,0.01923868626491402,0.01923868626491402
Corn,13,0.02669582564156566,0.02669582564156566
Corn,14,0.002398086807136166,0.002398086807136166
Corn,15,0.006145408692148751,0.006145408692148751
Corn,16,0.01552,0.01552
Corn,17,0.00224,0.00224
Corn,18,0.0504,0.0504
Corn,19,0.081,0.081
Corn,20,0.002,0.002
Corn,21,0.005710703973622304,0.005710703973622304
Corn,22,0.00224,0.00224
Corn,23,0.003,0.003
Corn,24,0.064,0.064
Corn,25,0.03750983947119925,0.03750983947119925
Corn,26,0.008708737475080233,0.008708737475080233
Corn,27,0.008423236189969522,0.008423236189969522
Corn,29,0.01246781303932853,0.01246781303932853
Corn,31,0.00224,0.00224
Corn,32,0.006,0.006
FiberCrop,1,0.00112,0.00112
FiberCrop,2,0.020302613114174622,0.020302613114174622
FiberCrop,3,0.0021276428733236854,0.002127642873323685
FiberCrop,4,0.01987216421013595,0.01987216421013595
FiberCrop,5,0.009881135201467484,0.009881135201467484
FiberCrop,6,0.0025583005948377766,0.0025583005948377766
FiberCrop,7,0.002645602857514844,0.002645602857514844
FiberCrop,8,0.00272,0.00272
FiberCrop,9,0.014098309400691234,0.014098309400691234
FiberCrop,10,0.00722720403399724,0.00722720403399724
FiberCrop,11,0.002566357887007368,0.002566357887007368
FiberCrop,12,0.005514132500957917,0.005514132500957917
FiberCrop,13,0.008560543268820008,0.008560543268820008
FiberCrop,14,0.025922124682904266,0.025922124682904266
FiberCrop,15,0.06077512509556048,0.06077512509556048
FiberCrop,16,0,0
FiberCrop,17,0.02045363391994757,0.02045363391994757
FiberCrop,18,0.008057710717342377,0.008057710717342377
FiberCrop,19,0.016,0.016
FiberCrop,20,0.029032813994052793,0.029032813994052793
FiberCrop,21,0.003104727288283251,0.003104727288283251
FiberCrop,22,0.012799962244568523,0.012799962244568523
FiberCrop,23,0.01910133906772438,0.01910133906772438
FiberCrop,24,0.002498596421804524,0.002498596421804524
FiberCrop,25,0,0
FiberCrop,26,0.00861856513047313,0.00861856513047313
FiberCrop,27,0.01243609612557141,0.01243609612557141
FiberCrop,29,0.01459688893354564,0.01459688893354564
FiberCrop,31,0.015406778234271213,0.015406778234271213
FiberCrop,32,0.013960708294155633,0.013960708294155633
FodderHerb,1,0,0
FodderHerb,2,0.019897008843452982,0.019897008843452982
FodderHerb,3,0.03035328178694158,0.03035328178694158
FodderHerb,4,0,0
FodderHerb,5,0,0
FodderHerb,6,0.03536,0.03536
FodderHerb,7,0,0
FodderHerb,8,0,0
FodderHerb,9,0,0
FodderHerb,10,0,0
FodderHerb,11,0,0
FodderHerb,12,0.004600280393564461,0.004600280393564461
FodderHerb,13,0.00678712128704332,0.00678712128704332
FodderHerb,14,0.0028177529847546725,0.0028177529847546725
FodderHerb,15,0.0018253549804490064,0.0018253549804490064
FodderHerb,16,0,0
FodderHerb,17,0,0
FodderHerb,18,0,0
FodderHerb,19,0,0
FodderHerb,20,0.0016,0.0016
FodderHerb,21,0.02117572215326918,0.02117572215326918
FodderHerb,22,0,0
FodderHerb,23,0,0
FodderHerb,24,0,0
FodderHerb,25,0,0
FodderHerb,26,0,0
FodderHerb,27,0,0
FodderHerb,29,0,0
FodderHerb,31,0,0
FodderHerb,32,0,0
Fruits,1,0.003300758336820924,0.003300758336820924
Fruits,2,0.03071868288721678,0.03071868288721678
Fruits,3,0.015271852821581527,0.015271852821581527
Fruits,4,0.007581720386842872,0.007581720386842872
Fruits,5,0.01023462506808677,0.01023462506808677
Fruits,6,0.002490123586249809,0.002490123586249809
Fruits,7,0.014196933017053548,0.014196933017053548
Fruits,8,0.004095946743762333,0.004095946743762333
Fruits,9,0.005799493913904904,0.005799493913904904
Fruits,10,0.014365083204295763,0.014365083204295763
Fruits,11,0.015686313217078363,0.015686313217078363
Fruits,12,0.0062290292529974456,0.0062290292529974456
Fruits,13,0.006871292655674896,0.006871292655674896
Fruits,14,0.013726658726608124,0.013726658726608124
Fruits,15,0.016558750897339033,0.016558750897339033
Fruits,16,0.011622097130833245,0.011622097130833245
Fruits,17,0.016247973824394992,0.016247973824394992
Fruits,18,0.00572732307486539,0.00572732307486539
Fruits,19,0.007505308955171362,0.007505308955171362
Fruits,20,0.015964622593521063,0.015964622593521063
Fruits,21,0.023721853300488625,0.023721853300488625
Fruits,22,0.007516839557159729,0.007516839557159729
Fruits,23,0.021280285540622043,0.021280285540622043
Fruits,24,0.0040888760676152025,0.0040888760676152025
Fruits,25,0.0038062969799896626,0.003806296979989662
Fruits,26,0.021764264737424367,0.021764264737424367
Fruits,27,0.0078020866234472614,0.0078020866234472614
Fruits,29,0.007841498006696828,0.007841498006696828
Fruits,31,0.015952995937159865,0.015952995937159865
Fruits,32,0.0033110066810948823,0.0033110066810948823
Legumes,1,0.007088932482002828,0.007088932482002828
Legumes,2,0.008347868406216177,0.008347868406216177
Legumes,3,0.008052297415555295,0.008052297415555295
Legumes,4,0.015105670265580986,0.015105670265580986
Legumes,5,0.021021607194103665,0.021021607194103665
