MODEL,SCENARIO,REGION,VARIABLE,UNIT,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,2105,2110,2115,2120,2125,2130,2135,2140,2145,2150
IIASA GDP,SSP2_v9_130219,BHS,Population,million,0.342877,0.365760341409734,0.387312254184324,0.407386331646998,0.425809766263101,0.4422225058764,0.456432856758622,0.468317102421382,0.478394638967458,0.486653143577413,0.493141392116164,0.496577330102484,0.497161782673943,0.495190020449458,0.491136709775633,0.485576544547863,0.478658975731708,0.470715729417923,0.461711735381154,,,,,,,,,,
IIASA GDP,SSP2_v9_130219,BIH,Population,million,3.76014900009791,3.74508783591513,3.71805603472331,3.6808307558715,3.6325952557739,3.56997304180684,3.49153918842447,3.40110880681902,3.30127350086653,3.19544318057051,3.08675874091642,2.97163003439272,2.85171432468495,2.72941382874709,2.60845416548772,2.49250622686005,2.38490179263048,2.28569225118761,2.19371136888579,,,,,,,,,,
IIASA GDP,SSP2_v9_130219,BLR,Population,million,9.59542100000001,9.43114387451239,9.27048621783183,9.09816237674972,8.91545009743536,8.73457323013053,8.56224724290331,8.38892822635737,8.2055200225501,8.01167255576151,7.8128935293783,7.6067884062991,7.39904541411433,7.1909221276979,6.98347692144316,6.78013049016459,6.58739415870972,6.40630451254018,6.23170100572018,,,,,,,,,,
IIASA GDP,SSP2_v9_130219,BLZ,Population,million,0.311627,0.339757684870013,0.364800438593098,0.385561840412966,0.403216225988422,0.418121290195856,0.430508607656347,0.440292091995492,0.447515308441594,0.452567119723112,0.455682916391715,0.457285686998643,0.457606032032208,0.457171855163124,0.455984614855963,0.454294622942128,0.452139004913905,0.450228992449233,0.448739523023011,,,,,,,,,,
IIASA GDP,SSP2_v9_130219,BOL,Population,million,9.929849,10.6468341836509,11.3397862944485,12.0014034697894,12.6029252804223,13.1300343844869,13.5849218500819,13.9630535350209,14.2706404273374,14.4948680625797,14.6455088657563,14.7451516743751,14.8033537244465,14.8188736313503,14.7895924732714,14.7305840348115,14.6540226165555,14.5674298449294,14.4679923530267,,,,,,,,,,
IIASA GDP,SSP2_v9_130219,BRA,Population,million,194.94647,203.150115113888,210.742646458276,217.420313201612,222.819088684661,226.941094656801,229.840593585499,231.531430922777,231.86816877452,230.80244798348,228.664941890414,225.547712527751,221.580587453088,216.853026080251,211.583123844846,205.939351494354,200.122938369157,194.261565454226,188.415406495482,,,,,,,,,,
IIASA GDP,SSP2_v9_130219,BRB,Population,million,0.273331,0.276003201924941,0.278637253405632,0.2803135501546,0.280747338756056,0.279847700225984,0.277148022203487,0.272840564000516,0.267511914301417,0.261453314613211,0.255052005211255,0.248139014306012,0.240898733392571,0.233378599983655,0.225598406662411,0.217668675023819,0.20973934363212,0.202058420091259,0.194733829127914,,,,,,,,,,
IIASA GDP,SSP2_v9_130219,BRN,Population,million,0.39892,0.433126150271529,0.466367704113115,0.497779867870504,0.527163853218228,0.554689885853904,0.580455090287053,0.60446664222296,0.62694656767732,0.647055485004921,0.664314472097894,0.676037428301123,0.682785765908754,0.684745214893318,0.683058243846619,0.678181341058668,0.670521013695733,0.660349855521817,0.6478551312211,,,,,,,,,,
IIASA GDP,SSP2_v9_130219,BTN,Population,million,0.72594,0.796705489422771,0.868861862524103,0.93927278778396,1.0063986756883,1.06915906994115,1.12927414265576,1.18646013000011,1.23881299160264,1.2841746409432,1.3209672155002,1.34742404425703,1.36442343042005,1.3721914300968,1.37088450846916,1.36187970248242,1.34678729978202,1.32782407555743,1.3049247466289,,,,,,,,,,
IIASA GDP,SSP2_v9_130219,BWA,Population,million,2.006945,2.12975691754974,2.24184321493622,2.33991492527412,2.42814804631651,2.51069006608697,2.58862725997369,2.66315182559397,2.73575531658884,2.80469256085209,2.87155994720374,2.92264374452444,2.95361555701921,2.96358037116722,2.95671280990506,2.93061261023239,2.88982153380034,2.83404664195337,2.762367741105,,,,,,,,,,
IIASA GDP,SSP2_v9_130219,CAF,Population,million,4.401051,4.81836274534976,5.258528799371,5.68617930710979,6.09716255706436,6.47927849947462,6.83428147488621,7.14720471610344,7.41389492274712,7.64249728924662,7.82498927489446,7.96002073716074,8.05155515064784,8.09900189018236,8.11139145744978,8.09172383182448,8.04241038919211,7.97261012799458,7.88590280877446,,,,,,,,,,
IIASA GDP,SSP2_v9_130219,CAN,Population,million,34.016593,35.8582294125101,37.7642004563537,39.64119929711,41.383591043045,42.9917814105159,44.540266870322,46.0681224555298,47.5848044889549,49.0525884708,50.4649049978034,51.6999312188287,52.7616706394233,53.6467299034917,54.3218715455398,54.7568031653182,54.9452805290274,54.8305450169029,54.4235538478397,,,,,,,,,,
IIASA GDP,SSP2_v9_130219,CHE,Population,million,7.664318,7.8996144540609,8.10097526266144,8.31225899391048,8.51937815043498,8.70938422956568,8.87929171919286,9.03333963954281,9.17171892309447,9.28925693456379,9.38376901057569,9.4402884642407,9.4671080314666,9.46978366926623,9.45027289469502,9.40669700893328,9.32159888303879,9.19689597648913,9.04115727768348,,,,,,,,,,
IIASA GDP,SSP2_v9_130219,CHL,Population,million,17.113688,17.8700864470934,18.5668896647809,19.1813723024288,19.6856186999143,20.0711137902355,20.3375424741481,20.4951943665867,20.5343115894906,20.489473575771,20.3689135759529,20.1749895950029,19.9165817957261,19.601962415542,19.2318705846421,18.8119879072093,18.3544929603609,17.8767570096033,17.3710847028137,,,,,,,,,,
